Title,Equation,Description,Source
Continuous Compounding,"r(t,T) = -ln(P(t,T))/(T-t)","This defines the continuously compounded zero rate r(t,T) between times t and T. The negative logarithm of the bond price normalized by maturity gives the constant continuous rate that would produce the same discount factor. This rate is fundamental in continuous-time finance because it eliminates compounding frequency complications. The relationship is invertible: P(t,T) = exp(-r(t,T)(T-t)).",eq3/fixed_income_primer.txt
Merton Structural Model,V_T = D + E_T; Default if V_T < D,Equity as call option on firm assets. Assets pay debt D at maturity; equity is residual. Default occurs at maturity if assets insufficient. Foundation of credit derivatives.,eq3/minimax-primer/formulas.csv
Quasi-Monte Carlo (Sobol),X_i = Phi^{-1}(Sobol_i(k)),"Low-discrepancy sequences instead of random. Sobol sequence covers [0,1] more uniformly. Dimension reduction via Brownian bridge. Faster convergence O(1/N).",eq3/minimax-primer/formulas.csv
Girsanov Theorem,dW_t^Q = dW_t^P + lambda_t dt,Change of measure via drift adjustment. lambda_t is market price of risk. Relates physical (P) and risk-neutral (Q) measures. Fundamental for risk-neutral pricing.,eq3/minimax-primer/formulas.csv
Composite Option (Options on Options),V = C_option(C_underlying),Option on another option. Price depends on underlying option's vol of vol. Decomposes into integral of bivariate normal. Strike and maturity for both options.,eq3/minimax-primer/formulas.csv
Target Redemption Note (TARN),V = sum_{i=1}^n max( min(C_i,C_min ),eq3/minimax-primer/formulas.csv
Basis Swap,V_basis = sum delta_i (R_flt,B) P(0,eq3/minimax-primer/formulas.csv
Rational Prepayment Model,R_t = (dV/dr) / (dV/dr_refi),Prepayment rate as ratio of yield incentive to refinance incentive. Burnout effect: fewer refiable mortgages remaining. Seasonality and burnout adjustment.,eq3/minimax-primer/formulas.csv
Impact Investing Return,IR = r_market + alpha_impact,Return premium/penalty for impact. Evidence mixed on outperformance. Risk-adjusted returns similar to conventional. Non-financial utility from impact.,eq3/minimax-primer/formulas.csv
Forward Variance Model,d(sigma_t^2 * t) = omega_t dt,Forward variance curve dynamics. Variance swap fair strike = initial forward variance. Volatility derivatives depend on forward variance structure. ARCH-like dynamics.,eq3/minimax-primer/formulas.csv
Swap Convexity,C_{swap} \approx C_{fixed},"Similar to duration, the convexity of a swap is dominated by the fixed leg. This means swaps exhibit the same desirable convexity properties as bonds, making them effective hedging instruments for bond portfolios.",eq3/jules-primer/primer.csv
Lookback Call (Floating Strike),S_T - min_{0\leq t\leq T} S_t,Payoff is terminal price minus minimum price achieved guaranteeing buying at the lowest price.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Cliquet Payoff,\prod_{k=1}^n max(min(R_k,F) - 1,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Unknown,dW^1_t \cdot dW^2_t = \rho dt,This represents the correlation between the two Brownian motions in the Schwartz-Smith model.,eq3/iflow-model-primer/derivatives-primer.csv
CDS Par Spread,s = \frac{(1-R) \int_0^T P(0,t) e^{-\int_0^t \lambda(u)du} dt},eq3/gemini-primer/gemini_primer.csv
Credit-Linked Note,CLN_0 = P(0 T) - CDS_{seller},Bond with embedded credit default swap.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,d_2 = d_1 - \sigma \sqrt{T-t},,eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part2.md
"A stochastic process M_t on a filtered probability space (Ω, F, {F_t}, P) is a martingale if:",E[M_t | F_s] = M_s for all 0 ≤ s ≤ t,This fundamental equality represents the fair game property where the conditional expectation of future values equals the current value. The process must be adapted to the filtration {F_t} and integrable (E[|M_t|] < ∞ for all t).,eq3/stochastic_calculus_primer.md
Fractional kernel specification:,K^H(t) = t^{H-1/2}/Γ(H+1/2),"The fractional kernel K^H(t) with Hurst parameter H ∈ (0,1/2) generalizes the classical exponential kernel of standard Heston. The Gamma function Γ(H+1/2) ensures proper normalization. This power-law decay captures the empirical roughness of volatility observed in high-frequency financial data, where H ≈ 0.1 typically fits market data. The singularity at t = 0 creates the rough behavior, fundamentally changing the model's analytical properties compared to smooth stochastic volatility models.",eq3/rough-heston-primer.md
Simple Rate Conversion,"L(t,T) = (1/P(t,T) - 1)/(T-t)","L(t,T) represents the simple (act/360 or act/365) rate between times t and T, commonly used in money markets and LIBOR settings. This linear compounding convention calculates interest as principal times rate times day count fraction. The relationship shows how simple rates relate to discount factors: higher simple rates correspond to lower discount factors. Simple rates are additive over periods but do not account for compounding within periods.",eq3/fixed_income_primer.txt
MBS Cash Flow Prepayment,PP_t = (B_{t-1} - SP_t) × SMM_t,"PP_t represents the unscheduled prepayment of principal at time t, calculated as the balance remaining after scheduled payment times the SMM rate. The term (B_{t-1} - SP_t) is the balance at the beginning of period t after accounting for scheduled principal payment. This calculation assumes prepayments occur mid-month on average, though some models use end-of-month timing. The prepayment component represents the optionality embedded in mortgages, as homeowners can prepay when it's economically advantageous, particularly when rates have fallen.",eq3/fixed_income_primer.txt
Value at Risk (Parametric),VaR_alpha = mu - z_alpha sigma,"z_alpha: alpha-quantile of standard normal (e.g., z_0.95 = 1.645). Assets normally distributed. Underestimates tail risk for fat-tailed distributions. Simple for linear portfolios.",eq3/minimax-primer/formulas.csv
Margrabe Exchange Option,C = S_1 Phi(d_1) - S_2 Phi(d_2),2 = [ln(S_1/S_2) +/- sigma^2 T/2]/(sigma sqrt(T)),eq3/minimax-primer/formulas.csv
Real Yield,y_real = (1 + y_nom)/(1 + pi) - 1,Yield after inflation adjustment. Important for TIPS analysis. Break-even inflation comparison. Real rate expectations.,eq3/minimax-primer/formulas.csv
Cheyette Model,dx_t = kappa x_t dt + sigma dW_t,"Term Structure | Mean-reverting Gaussian process. Stationary distribution: x_infty ~ N(0, sigma^2/(2kappa)). Mean reversion speed kappa controls return to mean theta. Used for spread and mean-reversion modeling.",eq3/minimax-primer/formulas.csv
Unknown,d\sigma_t = \nu \sigma_t dZ_t,"This SDE describes the evolution of the volatility process \sigma_t in the SABR model, where it follows a geometric Brownian motion.",eq3/iflow-model-primer/derivatives-primer.csv
Z-Spread,P = \sum C_i / (1 + z_i + Z)^{t_i},Constant spread over spot curve.,eq3/gemini-primer/gemini_primer.csv
Reverse Convertible,RC_0 = P(0 T) - P_{put}(S_0 K T),Bond with embedded short put.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Realized Variance,RV_t = \sum_{i=1}^n r_{t i}^2,Model-free variance from intraday data.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Lévy-Khintchine,E[e^{iuX_t}] = e^{t\psi(u)},Characteristic function formula.,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,"**Subject to:**
\sum_i q_i = Q",,eq3/gemini-primer/gemini_primer.md
Untitled Equation,Î_LHS = (1/n) Σ_{i=1}^n f(X_i),,eq3/monte_carlo_variance_reduction_II.txt
Effective Duration,D_eff = -(P_+ - P_-) / (2P_0 × Δy),"D_eff represents the effective duration of MBS, calculated using the price response to parallel yield curve shifts. P_+ is the price after a small upward yield shift Δy, P_- is the price after an equivalent downward shift, and P_0 is the original price. Unlike Macaulay or modified duration, effective duration accounts for the optionality of prepayments by revaluing along shifted rate paths. The Δ in denominator is 2Δy because it's an average of up and down moves. Effective duration is negative for MBS when prepayment speeds increase significantly on rate declines.",eq3/fixed_income_primer.txt
**Risk-Neutral Default Probability:**,PD^{\mathbb{Q}} = \Phi(-d_2),"**Theoretical Context:** Under the risk-neutral measure, the probability of default is Φ(-d_2), which depends on asset value, debt level, volatility, and time to maturity. This probability is used to price risky bonds and credit derivatives. The implied credit spread can be backed out by equating the model bond price to market prices. | 2. Black-Cox First Passage Time Model",eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
Local Risk Minimization,V_t = V_0 + int_0^t H_s dS_s + L_t,Adjusted predictor process L_t. Minimizes E[(V_T - V_T^*)^2]. Risk decomposition: intrinsic + hedging. Used when perfect replication impossible.,eq3/minimax-primer/formulas.csv
Constant Maturity Swap (CMS),V_CMS = E^Q[ int_t^T max(S_u - K,Interest Rate Derivatives,eq3/minimax-primer/formulas.csv
Natural Gas Storage (Working's Model),V = E[ max( S_T - S_0 exp((r+u)T),0) ) ],eq3/minimax-primer/formulas.csv
Transmission Option,V = E[ max( S_T^A - S_T^B - Tariff,Commodity Derivatives,eq3/minimax-primer/formulas.csv
Kelly Criterion,f^* = \frac{\mu - r}{\sigma^2},The formula for the optimal bet size to maximize the long-term growth rate of wealth (log-utility). Betting more than f^* increases volatility such that the geometric growth rate actually declines (volatility drag). It is widely used in gambling and aggressive trading strategies. | Optimal betting size for maximizing logarithmic wealth growth.,eq3/jules-primer/primer.csv; eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Lookback Call (Fixed Strike),max\left(max_{0\leq t\leq T} S_t - K,Exotic Options,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Compound Call-on-Call,c_{on_c} = S_0 e^{-qT_2}M(a_1,b_2;\sqrt{T_1/T_2}) - K_1 e^{-rT_1}N(a_2),eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Implied Volatility,\sigma_{BS} = f^{-1}(C_{mkt},K,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Unknown,dF_t = \sigma_t F_t^\beta dW_t,"This SDE describes the evolution of the forward price F_t in the SABR model, where the volatility \sigma_t is stochastic and depends on the forward price level.",eq3/iflow-model-primer/derivatives-primer.csv
Unknown,dr_t = a(b - r_t) dt + \sigma dW_t,"This SDE describes the evolution of the short-term interest rate r_t in the Vasicek model, which is a mean-reverting process.",eq3/iflow-model-primer/derivatives-primer.csv
Roll Spread,S = 2\sqrt{-Cov(r_t r_{t-1})},Implied spread from return autocorrelation.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
XGBoost Default,\hat{y} = \sum_{m=1}^M f_m(x),Gradient boosted trees for credit scoring.,eq3/gemini-primer/gemini_primer.csv
Infinite Activity,\int_{|x|<1} \nu(dx) = \infty,Condition for infinite jumps in any interval.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,\min_\theta \|y - \hat{y}\|^2,,eq3/gemini-primer/gemini_primer.md
Untitled Equation,V^* = \frac{\beta}{\beta - 1} I,,eq3/gemini-primer/gemini_primer.md
Untitled Equation,λ(t) = λ_0(t)exp(β'X_t + γ'Z_t),,eq3/credit_derivatives_intensity_models.txt
Untitled Equation,d(lnσ_k(t))/d(lnF_k(t)) = β_k,,eq3/lmm_content.txt
MBS Price Approximation with Duration and Convexity,ΔP/P ≈ -D_eff × Δy + 0.5 × C × (Δy)^2,"This equation approximates the percentage price change of MBS using Taylor expansion around the current yield. The first-order term -D_eff × Δy captures the linear price sensitivity (duration effect), while the second-order term 0.5 × C × (Δy)^2 captures the curvature (convexity effect). For MBS with negative convexity, the convexity term subtracts from price changes, amplifying losses when yields move significantly in either direction. This approximation works well for small yield movements but becomes inaccurate for large shifts or when prepayment behavior changes dramatically.",eq3/fixed_income_primer.txt
**Vasicek Bond Price (Affine Term Structure):**,"P(t,T) = A(t,T) e^{-B(t,T) r_t}",Automatically extracted equation,eq3/minimax-primer/comprehensive-formulas.md; eq3/gemini-primer/gemini_primer.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md; eq3/iflow-primer/formulas.csv
Untitled Equation,dW_S^{(1)} dW_v^{(2)} = \rho dt,,eq3/minimax-primer/comprehensive-formulas.md
Covered Interest Rate Parity,F_0 = S_0 * [(1 + r_d T)/(1 + r_f T)],"No-arbitrage relationship between FX forward and spot. S_0: spot (domestic per foreign), F_0: forward. Deviation implies arbitrage: swap points, carry trade.",eq3/minimax-primer/formulas.csv
Asian Option (Moment Matching),E[A_T] = (1/T) int_0^T E[S_t] dt,S_s) dt ds,eq3/minimax-primer/formulas.csv
Net Zero Portfolio,NP = sum_{i=1}^n w_i Emission_i,Portfolio carbon footprint. Weighted average emissions intensity. Carbon beta to market. Alignment with Paris Agreement goals.,eq3/minimax-primer/formulas.csv
FX Vanna,dDelta/dsigma = -d_1 d_2 / sigma,Delta change with vol. Cross-greek. Important for smile trading. Can be positive or negative.,eq3/minimax-primer/formulas.csv
Transition Risk (Climate),V_trans = V_base - Adjustment(T,ESG Metrics,eq3/minimax-primer/formulas.csv
Unscented Kalman Filter,mathcal X_t = sigma(hat x_{t-1},Econometrics,eq3/minimax-primer/formulas.csv
Cap Valuation,Cap(t) = \sum_{i=1}^n Caplet(t,T_i,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Basket Call Payoff,max\left(\sum_{i=1}^n w_i S_i(T) - K,Exotic Options,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Geometric Brownian Motion,dS_t = \mu S_t dt + \sigma S_t dW_t,Fundamental SDE for asset prices assuming log-normal returns.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Ho-Lee Model,dr_t = \theta(t) dt + \sigma dW_t,No-arbitrage model allowing exact fit to initial yield curve.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
LSTM Volatility,h_t = LSTM(h_{t-1} x_t; \theta),Recurrent architecture for volatility forecasting.,eq3/gemini-primer/gemini_primer.csv
PSA Prepayment,CPR(t) = \min(t/30 1) \times 6\%,Standard prepayment benchmark for MBS.,eq3/gemini-primer/gemini_primer.csv
Variance Gamma,X_t = \theta G_t + \sigma W_{G_t},Pure jump Lévy process for returns.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Solvency II SCR,SCR = VaR_{99.5\%}(\Delta BOF),Regulatory capital requirement.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Differential Evolution,x_{new} = x_{base} + F(x_1 - x_2),Global optimization algorithm.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,"**Quoted in BTC:**
C_{BTC} = C / S",,eq3/gemini-primer/gemini_primer.md
SABR MODEL,dF_t = \alpha_t F_t^\beta dW_t^F,"The SABR (Stochastic Alpha, Beta, Rho) model describes forward price dynamics where \alpha_t represents the stochastic volatility parameter. The exponent \beta controls the backbone of the volatility smile - \beta = 1 gives lognormal dynamics, \beta = 0 gives normal dynamics, and intermediate values produce a CEV-type structure. This parameterization captures the empirical observation that implied volatility varies with the level of forward rates. | When volatility of volatility \nu = 0, SABR reduces to Constant Elasticity of Variance (CEV) model. The instantaneous variance is \sigma^2(F_t) = \alpha^2 F_t^{2\beta}, making volatility power-dependent on underlying level. This local volatility model generates skew without smile curvature. For \beta < 1, variance decreases as price falls, preventing extreme negative movements and creating skew consistent with leverage effect. The CEV model lacks the time-dependent smile dynamics provided by stochastic volatility. | Standard industry model for volatility smiles in rates/FX. | To accommodate negative rates observed in Eurodollar and SOFR markets post-2008, shifted SABR introduces shift parameter s > 0 ensuring F_t + s > 0. The implied volatility formula generalizes by replacing F_t with F_t + s throughout. This shift preserves lognormal dynamics for shifted forward, maintaining analytical tractability. Calibration involves solving for \alpha, \beta, \nu, \rho, s simultaneously, though s is often set to absolute value of lowest observed rate to ensure positivity. Shifted SABR with \beta = 0 is equivalent to displaced diffusion model with stochastic volatility extension.",eq3/equity-derivatives-stochastic-volatility-primer.txt; eq3/sabr-model.txt; eq3/gemini-primer/gemini_primer.csv; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part2.md
